[0.000000] (-) TimerEvent: {}
[0.000117] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000163] (-) JobUnselected: {'identifier': 'cmake_generate_parameter_module_example'}
[0.000202] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000232] (-) JobUnselected: {'identifier': 'generate_parameter_library'}
[0.000246] (-) JobUnselected: {'identifier': 'generate_parameter_library_example'}
[0.000260] (-) JobUnselected: {'identifier': 'generate_parameter_library_py'}
[0.000273] (-) JobUnselected: {'identifier': 'generate_parameter_module_example'}
[0.000286] (-) JobUnselected: {'identifier': 'geometric_shapes'}
[0.000299] (-) JobUnselected: {'identifier': 'hello_moveit'}
[0.000311] (-) JobUnselected: {'identifier': 'jakes_pendulum_moveit_config'}
[0.000324] (-) JobUnselected: {'identifier': 'moveit'}
[0.000337] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.000350] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000362] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000375] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000387] (-) JobUnselected: {'identifier': 'moveit_drake'}
[0.000400] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000413] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000425] (-) JobUnselected: {'identifier': 'moveit_msgs'}
[0.000438] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000451] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000463] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000476] (-) JobUnselected: {'identifier': 'moveit_planners_stomp'}
[0.000488] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000501] (-) JobUnselected: {'identifier': 'moveit_py'}
[0.000513] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.000526] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.000538] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.000551] (-) JobUnselected: {'identifier': 'moveit_resources_jakes_pendulum_description'}
[0.000563] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.000576] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.000588] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.000601] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.000613] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.000626] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.000638] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.000651] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.000663] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.000675] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.000688] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000700] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000713] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000725] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000738] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.000750] (-) JobUnselected: {'identifier': 'moveit_ros_tests'}
[0.000763] (-) JobUnselected: {'identifier': 'moveit_ros_trajectory_cache'}
[0.000775] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.000788] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.000800] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.000813] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.000825] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.000838] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.000851] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.000863] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.000876] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.000888] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.000919] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.001077] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.001092] (-) JobUnselected: {'identifier': 'parameter_traits'}
[0.001105] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.001118] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.001153] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.001238] (moveit_ros_planning) JobQueued: {'identifier': 'moveit_ros_planning', 'dependencies': OrderedDict([('generate_parameter_library_py', '/home/jake/moveit2_ws_main/install/generate_parameter_library_py'), ('geometric_shapes', '/home/jake/moveit2_ws_main/install/geometric_shapes'), ('moveit_common', '/home/jake/moveit2_ws_main/install/moveit_common'), ('moveit_configs_utils', '/home/jake/moveit2_ws_main/install/moveit_configs_utils'), ('moveit_msgs', '/home/jake/moveit2_ws_main/install/moveit_msgs'), ('moveit_resources_panda_description', '/home/jake/moveit2_ws_main/install/moveit_resources_panda_description'), ('moveit_resources_pr2_description', '/home/jake/moveit2_ws_main/install/moveit_resources_pr2_description'), ('parameter_traits', '/home/jake/moveit2_ws_main/install/parameter_traits'), ('generate_parameter_library', '/home/jake/moveit2_ws_main/install/generate_parameter_library'), ('moveit_resources_panda_moveit_config', '/home/jake/moveit2_ws_main/install/moveit_resources_panda_moveit_config'), ('moveit_core', '/home/jake/moveit2_ws_main/install/moveit_core'), ('moveit_ros_occupancy_map_monitor', '/home/jake/moveit2_ws_main/install/moveit_ros_occupancy_map_monitor')])}
[0.001272] (moveit_ros_planning) JobStarted: {'identifier': 'moveit_ros_planning'}
[0.099342] (-) TimerEvent: {}
[0.116718] (moveit_ros_planning) JobProgress: {'identifier': 'moveit_ros_planning', 'progress': 'cmake'}
[0.117395] (moveit_ros_planning) JobProgress: {'identifier': 'moveit_ros_planning', 'progress': 'build'}
