[0.000000] (-) TimerEvent: {}
[0.000252] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000303] (-) JobUnselected: {'identifier': 'cmake_generate_parameter_module_example'}
[0.000321] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000334] (-) JobUnselected: {'identifier': 'generate_parameter_library'}
[0.000347] (-) JobUnselected: {'identifier': 'generate_parameter_library_example'}
[0.000376] (-) JobUnselected: {'identifier': 'generate_parameter_library_py'}
[0.000406] (-) JobUnselected: {'identifier': 'generate_parameter_module_example'}
[0.000420] (-) JobUnselected: {'identifier': 'geometric_shapes'}
[0.000468] (-) JobUnselected: {'identifier': 'hello_moveit'}
[0.000480] (-) JobUnselected: {'identifier': 'jakes_pendulum_moveit_config'}
[0.000509] (-) JobUnselected: {'identifier': 'moveit'}
[0.000540] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.000553] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000600] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000612] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000625] (-) JobUnselected: {'identifier': 'moveit_drake'}
[0.000638] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000651] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000664] (-) JobUnselected: {'identifier': 'moveit_msgs'}
[0.000677] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000690] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000703] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000716] (-) JobUnselected: {'identifier': 'moveit_planners_stomp'}
[0.000729] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000741] (-) JobUnselected: {'identifier': 'moveit_py'}
[0.000754] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.000767] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.000780] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.000793] (-) JobUnselected: {'identifier': 'moveit_resources_jakes_pendulum_description'}
[0.000806] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.000819] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.000832] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.000845] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.000858] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.000871] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.000884] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.000897] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.000909] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.000922] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.000935] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000948] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000961] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000973] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000986] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.000999] (-) JobUnselected: {'identifier': 'moveit_ros_tests'}
[0.001012] (-) JobUnselected: {'identifier': 'moveit_ros_trajectory_cache'}
[0.001025] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.001037] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.001050] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.001063] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.001076] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.001096] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.001110] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.001123] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.001136] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.001149] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.001162] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.001226] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.001241] (-) JobUnselected: {'identifier': 'parameter_traits'}
[0.001254] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.001267] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.001280] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.001295] (moveit_ros_planning) JobQueued: {'identifier': 'moveit_ros_planning', 'dependencies': OrderedDict([('generate_parameter_library_py', '/home/jake/moveit2_ws_main/install/generate_parameter_library_py'), ('geometric_shapes', '/home/jake/moveit2_ws_main/install/geometric_shapes'), ('moveit_common', '/home/jake/moveit2_ws_main/install/moveit_common'), ('moveit_configs_utils', '/home/jake/moveit2_ws_main/install/moveit_configs_utils'), ('moveit_msgs', '/home/jake/moveit2_ws_main/install/moveit_msgs'), ('moveit_resources_panda_description', '/home/jake/moveit2_ws_main/install/moveit_resources_panda_description'), ('moveit_resources_pr2_description', '/home/jake/moveit2_ws_main/install/moveit_resources_pr2_description'), ('parameter_traits', '/home/jake/moveit2_ws_main/install/parameter_traits'), ('generate_parameter_library', '/home/jake/moveit2_ws_main/install/generate_parameter_library'), ('moveit_resources_panda_moveit_config', '/home/jake/moveit2_ws_main/install/moveit_resources_panda_moveit_config'), ('moveit_core', '/home/jake/moveit2_ws_main/install/moveit_core'), ('moveit_ros_occupancy_map_monitor', '/home/jake/moveit2_ws_main/install/moveit_ros_occupancy_map_monitor')])}
[0.001330] (moveit_ros_planning) JobStarted: {'identifier': 'moveit_ros_planning'}
[0.099337] (-) TimerEvent: {}
[0.117031] (moveit_ros_planning) JobProgress: {'identifier': 'moveit_ros_planning', 'progress': 'cmake'}
