[0.000000] (-) TimerEvent: {}
[0.000100] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000124] (-) JobUnselected: {'identifier': 'cmake_generate_parameter_module_example'}
[0.000141] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000156] (-) JobUnselected: {'identifier': 'generate_parameter_library'}
[0.000169] (-) JobUnselected: {'identifier': 'generate_parameter_library_example'}
[0.000183] (-) JobUnselected: {'identifier': 'generate_parameter_library_py'}
[0.000195] (-) JobUnselected: {'identifier': 'generate_parameter_module_example'}
[0.000209] (-) JobUnselected: {'identifier': 'geometric_shapes'}
[0.000222] (-) JobUnselected: {'identifier': 'hello_moveit'}
[0.000236] (-) JobUnselected: {'identifier': 'jakes_pendulum_moveit_config'}
[0.000250] (-) JobUnselected: {'identifier': 'moveit'}
[0.000263] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.000277] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000290] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000304] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000317] (-) JobUnselected: {'identifier': 'moveit_drake'}
[0.000331] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000344] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000357] (-) JobUnselected: {'identifier': 'moveit_msgs'}
[0.000371] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000384] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000398] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000411] (-) JobUnselected: {'identifier': 'moveit_planners_stomp'}
[0.000424] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000437] (-) JobUnselected: {'identifier': 'moveit_py'}
[0.000450] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.000463] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.000477] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.000490] (-) JobUnselected: {'identifier': 'moveit_resources_jakes_pendulum_description'}
[0.000504] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.000517] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.000530] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.000544] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.000557] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.000570] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.000583] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.000596] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.000610] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.000623] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.000636] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000649] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000662] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000676] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000689] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.000702] (-) JobUnselected: {'identifier': 'moveit_ros_tests'}
[0.000715] (-) JobUnselected: {'identifier': 'moveit_ros_trajectory_cache'}
[0.000728] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.000742] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.000755] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.000774] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.001051] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.001075] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.001092] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.001106] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.001120] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.001134] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.001148] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.001176] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.001191] (-) JobUnselected: {'identifier': 'parameter_traits'}
[0.001205] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.001219] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.001232] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.001248] (moveit_ros_planning) JobQueued: {'identifier': 'moveit_ros_planning', 'dependencies': OrderedDict([('generate_parameter_library_py', '/home/jake/moveit2_ws_main/install/generate_parameter_library_py'), ('geometric_shapes', '/home/jake/moveit2_ws_main/install/geometric_shapes'), ('moveit_common', '/home/jake/moveit2_ws_main/install/moveit_common'), ('moveit_configs_utils', '/home/jake/moveit2_ws_main/install/moveit_configs_utils'), ('moveit_msgs', '/home/jake/moveit2_ws_main/install/moveit_msgs'), ('moveit_resources_panda_description', '/home/jake/moveit2_ws_main/install/moveit_resources_panda_description'), ('moveit_resources_pr2_description', '/home/jake/moveit2_ws_main/install/moveit_resources_pr2_description'), ('parameter_traits', '/home/jake/moveit2_ws_main/install/parameter_traits'), ('generate_parameter_library', '/home/jake/moveit2_ws_main/install/generate_parameter_library'), ('moveit_resources_panda_moveit_config', '/home/jake/moveit2_ws_main/install/moveit_resources_panda_moveit_config'), ('moveit_core', '/home/jake/moveit2_ws_main/install/moveit_core'), ('moveit_ros_occupancy_map_monitor', '/home/jake/moveit2_ws_main/install/moveit_ros_occupancy_map_monitor')])}
[0.001285] (moveit_ros_planning) JobStarted: {'identifier': 'moveit_ros_planning'}
[0.099523] (-) TimerEvent: {}
[0.136226] (moveit_ros_planning) JobProgress: {'identifier': 'moveit_ros_planning', 'progress': 'cmake'}
