[0.000000] (-) TimerEvent: {}
[0.000592] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000695] (-) JobUnselected: {'identifier': 'cmake_generate_parameter_module_example'}
[0.000716] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000732] (-) JobUnselected: {'identifier': 'generate_parameter_library'}
[0.000874] (-) JobUnselected: {'identifier': 'generate_parameter_library_example'}
[0.000890] (-) JobUnselected: {'identifier': 'generate_parameter_library_py'}
[0.000905] (-) JobUnselected: {'identifier': 'generate_parameter_module_example'}
[0.000920] (-) JobUnselected: {'identifier': 'geometric_shapes'}
[0.000934] (-) JobUnselected: {'identifier': 'hello_moveit'}
[0.000948] (-) JobUnselected: {'identifier': 'jakes_pendulum_moveit_config'}
[0.000962] (-) JobUnselected: {'identifier': 'moveit'}
[0.000976] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.000990] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.001004] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.001019] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.001033] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.001046] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.001060] (-) JobUnselected: {'identifier': 'moveit_msgs'}
[0.001074] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.001088] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.001102] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.001116] (-) JobUnselected: {'identifier': 'moveit_planners_stomp'}
[0.001130] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.001144] (-) JobUnselected: {'identifier': 'moveit_py'}
[0.001168] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.001281] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.001297] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.001311] (-) JobUnselected: {'identifier': 'moveit_resources_jakes_pendulum_description'}
[0.001326] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.001340] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.001354] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.001368] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.001383] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.001397] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.001411] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.001425] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.001439] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.001453] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.001467] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.001481] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.001495] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.001509] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.001523] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.001537] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.001551] (-) JobUnselected: {'identifier': 'moveit_ros_tests'}
[0.001565] (-) JobUnselected: {'identifier': 'moveit_ros_trajectory_cache'}
[0.001579] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.001593] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.001607] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.001621] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.001635] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.001649] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.001663] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.001677] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.001691] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.001705] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.001719] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.001743] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.001759] (-) JobUnselected: {'identifier': 'parameter_traits'}
[0.001773] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.001787] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.001823] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.001840] (moveit_drake) JobQueued: {'identifier': 'moveit_drake', 'dependencies': OrderedDict([('generate_parameter_library_py', '/home/jake/moveit2_ws_main/install/generate_parameter_library_py'), ('geometric_shapes', '/home/jake/moveit2_ws_main/install/geometric_shapes'), ('moveit_common', '/home/jake/moveit2_ws_main/install/moveit_common'), ('moveit_configs_utils', '/home/jake/moveit2_ws_main/install/moveit_configs_utils'), ('moveit_msgs', '/home/jake/moveit2_ws_main/install/moveit_msgs'), ('moveit_resources_fanuc_description', '/home/jake/moveit2_ws_main/install/moveit_resources_fanuc_description'), ('moveit_resources_jakes_pendulum_description', '/home/jake/moveit2_ws_main/install/moveit_resources_jakes_pendulum_description'), ('moveit_resources_panda_description', '/home/jake/moveit2_ws_main/install/moveit_resources_panda_description'), ('moveit_resources_pr2_description', '/home/jake/moveit2_ws_main/install/moveit_resources_pr2_description'), ('moveit_resources_prbt_support', '/home/jake/moveit2_ws_main/install/moveit_resources_prbt_support'), ('parameter_traits', '/home/jake/moveit2_ws_main/install/parameter_traits'), ('rviz_visual_tools', '/home/jake/moveit2_ws_main/install/rviz_visual_tools'), ('generate_parameter_library', '/home/jake/moveit2_ws_main/install/generate_parameter_library'), ('moveit_resources_fanuc_moveit_config', '/home/jake/moveit2_ws_main/install/moveit_resources_fanuc_moveit_config'), ('moveit_resources_panda_moveit_config', '/home/jake/moveit2_ws_main/install/moveit_resources_panda_moveit_config'), ('moveit_core', '/home/jake/moveit2_ws_main/install/moveit_core'), ('moveit_planners_stomp', '/home/jake/moveit2_ws_main/install/moveit_planners_stomp'), ('moveit_resources_prbt_ikfast_manipulator_plugin', '/home/jake/moveit2_ws_main/install/moveit_resources_prbt_ikfast_manipulator_plugin'), ('moveit_ros_occupancy_map_monitor', '/home/jake/moveit2_ws_main/install/moveit_ros_occupancy_map_monitor'), ('moveit_simple_controller_manager', '/home/jake/moveit2_ws_main/install/moveit_simple_controller_manager'), ('pilz_industrial_motion_planner_testutils', '/home/jake/moveit2_ws_main/install/pilz_industrial_motion_planner_testutils'), ('moveit_plugins', '/home/jake/moveit2_ws_main/install/moveit_plugins'), ('moveit_ros_planning', '/home/jake/moveit2_ws_main/install/moveit_ros_planning'), ('moveit_kinematics', '/home/jake/moveit2_ws_main/install/moveit_kinematics'), ('moveit_planners_ompl', '/home/jake/moveit2_ws_main/install/moveit_planners_ompl'), ('moveit_ros_robot_interaction', '/home/jake/moveit2_ws_main/install/moveit_ros_robot_interaction'), ('moveit_ros_warehouse', '/home/jake/moveit2_ws_main/install/moveit_ros_warehouse'), ('moveit_visual_tools', '/home/jake/moveit2_ws_main/install/moveit_visual_tools'), ('moveit_ros_benchmarks', '/home/jake/moveit2_ws_main/install/moveit_ros_benchmarks'), ('moveit_ros_move_group', '/home/jake/moveit2_ws_main/install/moveit_ros_move_group'), ('moveit_resources_prbt_moveit_config', '/home/jake/moveit2_ws_main/install/moveit_resources_prbt_moveit_config'), ('moveit_ros_planning_interface', '/home/jake/moveit2_ws_main/install/moveit_ros_planning_interface'), ('moveit_py', '/home/jake/moveit2_ws_main/install/moveit_py'), ('moveit_resources_prbt_pg70_support', '/home/jake/moveit2_ws_main/install/moveit_resources_prbt_pg70_support'), ('moveit_ros_visualization', '/home/jake/moveit2_ws_main/install/moveit_ros_visualization'), ('moveit_ros', '/home/jake/moveit2_ws_main/install/moveit_ros'), ('moveit_setup_framework', '/home/jake/moveit2_ws_main/install/moveit_setup_framework'), ('pilz_industrial_motion_planner', '/home/jake/moveit2_ws_main/install/pilz_industrial_motion_planner'), ('moveit_planners', '/home/jake/moveit2_ws_main/install/moveit_planners'), ('moveit_setup_app_plugins', '/home/jake/moveit2_ws_main/install/moveit_setup_app_plugins'), ('moveit_setup_controllers', '/home/jake/moveit2_ws_main/install/moveit_setup_controllers'), ('moveit_setup_core_plugins', '/home/jake/moveit2_ws_main/install/moveit_setup_core_plugins'), ('moveit_setup_srdf_plugins', '/home/jake/moveit2_ws_main/install/moveit_setup_srdf_plugins'), ('moveit_setup_assistant', '/home/jake/moveit2_ws_main/install/moveit_setup_assistant'), ('jakes_pendulum_moveit_config', '/home/jake/moveit2_ws_main/install/jakes_pendulum_moveit_config'), ('moveit', '/home/jake/moveit2_ws_main/install/moveit')])}
[0.001912] (moveit_drake) JobStarted: {'identifier': 'moveit_drake'}
[0.099338] (-) TimerEvent: {}
[0.199756] (-) TimerEvent: {}
[0.300018] (-) TimerEvent: {}
[0.400555] (-) TimerEvent: {}
[0.419040] (moveit_drake) JobProgress: {'identifier': 'moveit_drake', 'progress': 'cmake'}
